"","x"
"Roger Federer","1981.08.08"
"Pete Sampras","1971.08.12"
"Ivan Lendl","1960.03.07"
"Jimmy Connors","1952.09.02"
"Novak Djokovic","1987.05.22"
"John McEnroe","1959.02.16"
"Rafael Nadal","1986.06.03"
"Bjorn Borg","1956.06.06"
"Andre Agassi","1970.04.29"
"Lleyton Hewitt","1981.02.24"
"Stefan Edberg","1966.01.19"
"Jim Courier","1970.08.17"
"Gustavo Kuerten","1976.09.10"
"Andy Murray","1987.05.15"
"Ilie Nastase","1946.07.19"
"Mats Wilander","1964.08.22"
"Andy Roddick","1982.08.30"
"Boris Becker","1967.11.22"
"Marat Safin","1980.01.27"
"Juan Carlos Ferrero","1980.02.12"
"John Newcombe","1944.05.23"
"Yevgeny Kafelnikov","1974.02.18"
"Thomas Muster","1967.10.02"
"Marcelo Rios","1975.12.26"
"Carlos Moya","1976.08.27"
"Patrick Rafter","1972.12.28"
