"Country","region","Number.of.players.aged.21.or.under.in.ATP.top.500","Population..2014.","iso2c","gdp"
"Austria","Western Europe",1,8546000,"AT",47682.2998037455
"Australia","Australasia",5,23470000,"AU",45925.4938016701
"Belgium","Western Europe",3,11230000,"BE",43434.7178348712
"Brazil","Central America",1,206100000,"BR",15893.1514693368
"Canada","North America",1,35880000,"CA",45065.6915439595
"Chile","Central America",1,17760000,"CL",22071.0974691065
"China","Asia",1,1364000000,"CN",13206.3835747377
"Colombia","Central America",1,47790000,"CO",13357.1496717052
"Czech Republic","Central Europe",3,10530000,"CZ",31185.8787015268
"Germany","Western Europe",4,80970000,"DE",46400.619237419
"Spain","Western Europe",7,46480000,"ES",33628.937085449
"France","Western Europe",5,66220000,"FR",39327.8676759058
"Great Britain","Western Europe",1,64560000,"GB",40233.2098149211
"Greece","Central Europe",1,10870000,"GR",26850.893880054
"Croatia","Central Europe",1,4238000,"HR",21635.0822701423
"Israel","Middle East",1,8216000,"IL",33703.4250415256
"India","Asia",2,1295000000,"IN",5700.72347332058
"Italy","Western Europe",6,60790000,"IT",35462.7957200378
"Japan","Asia",4,127100000,"JP",36619.4261712098
"South Korea","Asia",4,50420000,"KR",33394.7999142012
"Kazakhstan","Central Europe",1,17290000,"KZ",24227.7218120013
"Mexico","Central America",1,125400000,"MX",17314.7182457025
"Netherlands","Western Europe",1,16870000,"NL",48253.3341426866
"Poland","Central Europe",2,38010000,"PL",25261.5521480429
"Portugal","Western Europe",1,10400000,"PT",28759.9842917391
"Serbia","Central Europe",4,7129000,"RS",13594.1335641806
"Russia","Central Europe",5,143800000,"RU",22989.5779468672
"Sweden","Western Europe",1,9696000,"SE",45296.9562604006
"Turkey","Central Europe",1,75930000,"TR",19787.6564250296
"US","North America",10,318900000,"US",54629.4951678912
"Uzbekistan","Central Europe",1,30760000,"UZ",5573.1126747407
"South Africa","Africa",1,54000000,"ZA",13049.2770876209
